trimestre,division,ice,type
T1/2013,DEMI  PRODUITS,100.4,export
T1/2013,ENERGIE  ET  LUBRIFIANTS,97.3,export
T1/2013,EXPORTATIONS,95.4,export
T1/2013,"1- Alimentation, boissons et tabacs",99.5,import
T1/2013,3- Produits bruts d'origine animale et vegetale,103.3,import
T1/2013,4- Produits bruts d'origine minerale,87.9,import
T1/2013,6- Produits finis d'equipement agricole,83.9,import
T1/2013,7- Produits finis d'equipement industriel,101.3,import
T1/2013,8- Produits finis de consommation,101.6,import
T1/2013,DEMI  PRODUITS,90.6,import
T1/2013,ENERGIE  ET  LUBRIFIANTS,68.8,import
T1/2013,IMPORTATIONS,99.9,import
T2/2013,"1- Alimentation, boissons et tabacs",100.0,export
T2/2013,3- Produits bruts d'origine animale et vegetale,95.7,export
T2/2013,4- Produits bruts d'origine minerale,86.2,export
T2/2013,6- Produits finis d'equipement agricole,98.3,export
T2/2013,7- Produits finis d'equipement industriel,100.1,export
T2/2013,8- Produits finis de consommation,105.3,export
T2/2013,DEMI  PRODUITS,99.3,export
T2/2013,ENERGIE  ET  LUBRIFIANTS,90.3,export
T2/2013,EXPORTATIONS,97.0,export
T2/2013,"1- Alimentation, boissons et tabacs",99.2,import
T2/2013,3- Produits bruts d'origine animale et vegetale,102.9,import
T2/2013,4- Produits bruts d'origine minerale,83.6,import
T2/2013,6- Produits finis d'equipement agricole,94.5,import
T2/2013,7- Produits finis d'equipement industriel,102.9,import
T2/2013,8- Produits finis de consommation,101.9,import
T2/2013,DEMI  PRODUITS,91.5,import
T2/2013,ENERGIE  ET  LUBRIFIANTS,106.5,import
T2/2013,IMPORTATIONS,97.6,import
T3/2013,"1- Alimentation, boissons et tabacs",97.3,export
T3/2013,3- Produits bruts d'origine animale et vegetale,95.1,export
T3/2013,4- Produits bruts d'origine minerale,74.9,export
T3/2013,6- Produits finis d'equipement agricole,99.3,export
T3/2013,7- Produits finis d'equipement industriel,102.1,export
T3/2013,8- Produits finis de consommation,105.0,export
T3/2013,DEMI  PRODUITS,98.1,export
T3/2013,ENERGIE  ET  LUBRIFIANTS,94.5,export
T3/2013,EXPORTATIONS,94.2,export
T3/2013,"1- Alimentation, boissons et tabacs",100.6,import
T3/2013,3- Produits bruts d'origine animale et vegetale,101.7,import
T3/2013,4- Produits bruts d'origine minerale,78.5,import
